epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,6947.74,0.52971,0.44673,1.09011,0.92109,0.89716,0.91423,0.83777,0.46559,0.3881,1.11096,0.0009506,0.0009506,0.0009506
55,7075.02,0.52961,0.43664,1.08709,0.94755,0.88149,0.91334,0.83736,0.45532,0.37963,1.08577,0.0009308,0.0009308,0.0009308
56,7203.08,0.53241,0.44257,1.0969,0.93039,0.89011,0.91153,0.83726,0.45153,0.37953,1.07928,0.000911,0.000911,0.000911
57,7330.12,0.5211,0.43233,1.08347,0.93003,0.8952,0.91539,0.83646,0.44943,0.37815,1.09763,0.0008912,0.0008912,0.0008912
58,7456.77,0.51968,0.43433,1.08396,0.93908,0.8907,0.91854,0.84221,0.44249,0.35857,1.06349,0.0008714,0.0008714,0.0008714
59,7585.24,0.51635,0.42663,1.07934,0.94792,0.88737,0.91753,0.84172,0.44734,0.36923,1.07368,0.0008516,0.0008516,0.0008516
60,7712.5,0.51475,0.41849,1.07875,0.94201,0.89096,0.91438,0.84248,0.4417,0.36413,1.07157,0.0008318,0.0008318,0.0008318
61,7841.15,0.50707,0.42178,1.07598,0.92396,0.90304,0.91306,0.84103,0.44254,0.36968,1.07627,0.000812,0.000812,0.000812
62,7969.19,0.5128,0.42514,1.07964,0.93542,0.89383,0.91717,0.84532,0.43466,0.36326,1.07794,0.0007922,0.0007922,0.0007922
63,8097.22,0.50979,0.42262,1.07766,0.94308,0.8952,0.91606,0.84666,0.43613,0.36795,1.06979,0.0007724,0.0007724,0.0007724
64,8226.89,0.50368,0.41448,1.06825,0.93754,0.89128,0.91504,0.84384,0.44327,0.36842,1.084,0.0007526,0.0007526,0.0007526
65,8356.62,0.50829,0.41582,1.07603,0.94559,0.88518,0.9159,0.84742,0.42797,0.35921,1.06438,0.0007328,0.0007328,0.0007328
66,8486.05,0.50528,0.42082,1.07537,0.93661,0.89726,0.90911,0.83876,0.43442,0.35765,1.07558,0.000713,0.000713,0.000713
67,8614,0.49911,0.40754,1.07014,0.93273,0.89618,0.91414,0.84321,0.4388,0.36527,1.07447,0.0006932,0.0006932,0.0006932
68,8739.91,0.49922,0.41157,1.0718,0.94486,0.88956,0.91651,0.8483,0.42873,0.35758,1.06074,0.0006734,0.0006734,0.0006734
69,8866.46,0.49269,0.40646,1.0664,0.94529,0.8903,0.91917,0.84735,0.43086,0.35685,1.06192,0.0006536,0.0006536,0.0006536
70,8993.31,0.4945,0.407,1.06883,0.94596,0.89618,0.91882,0.84823,0.42021,0.35627,1.05213,0.0006338,0.0006338,0.0006338
71,9121.93,0.49249,0.40577,1.06334,0.94102,0.89912,0.91729,0.85135,0.42641,0.35375,1.06634,0.000614,0.000614,0.000614
